03/17/21  16:48:17  1:+25.370C  
03/17/21  16:48:27  1:+25.323C  
03/17/21  16:48:37  1:+25.294C  
03/17/21  16:48:47  1:+25.267C  
03/17/21  16:48:57  1:+25.237C  
03/17/21  16:49:07  1:+25.202C  
03/17/21  16:49:17  1:+25.151C  
03/17/21  16:49:27  1:+25.106C  
03/17/21  16:49:37  1:+25.080C  
03/17/21  16:49:47  1:+25.052C  
03/17/21  16:49:57  1:+25.011C  
03/17/21  16:50:07  1:+24.978C  
03/17/21  16:50:17  1:+24.957C  
03/17/21  16:50:27  1:+24.944C  
03/17/21  16:50:37  1:+24.910C  
03/17/21  16:50:47  1:+24.889C  
03/17/21  16:50:57  1:+24.859C  
03/17/21  16:51:07  1:+24.838C  
03/17/21  16:51:17  1:+24.800C  
03/17/21  16:51:27  1:+24.789C  
03/17/21  16:51:37  1:+24.754C  
03/17/21  16:51:47  1:+24.723C  
03/17/21  16:51:57  1:+24.700C  
03/17/21  16:52:07  1:+24.676C  
03/17/21  16:52:17  1:+24.658C  
03/17/21  16:52:27  1:+24.636C  
03/17/21  16:52:37  1:+24.626C  
03/17/21  16:52:57  1:+24.582C  
03/17/21  16:53:07  1:+24.554C  
03/17/21  16:53:17  1:+24.531C  
03/17/21  16:53:27  1:+24.528C  
03/17/21  16:53:37  1:+24.513C  
03/17/21  16:53:47  1:+24.483C  
03/17/21  16:53:57  1:+24.473C  
03/17/21  16:54:07  1:+24.455C  
03/17/21  16:54:17  1:+24.432C  
03/17/21  16:54:27  1:+24.410C  
03/17/21  16:54:37  1:+24.390C  
03/17/21  16:54:47  1:+24.378C  
03/17/21  16:54:57  1:+24.369C  
03/17/21  16:55:07  1:+24.359C  
03/17/21  16:55:17  1:+24.344C  
03/17/21  16:55:27  1:+24.323C  
03/17/21  16:55:37  1:+24.309C  
03/17/21  16:55:47  1:+24.301C  
03/17/21  16:55:57  1:+24.272C  
03/17/21  16:56:07  1:+24.256C  
03/17/21  16:56:17  1:+24.250C  
03/17/21  16:56:27  1:+24.240C  
03/17/21  16:56:37  1:+24.218C  
03/17/21  16:56:47  1:+24.208C  
03/17/21  16:56:57  1:+24.197C  
03/17/21  16:57:07  1:+24.188C  
03/17/21  16:57:17  1:+24.167C  
03/17/21  16:57:27  1:+24.162C  
03/17/21  16:57:37  1:+24.149C  
03/17/21  16:57:47  1:+24.144C  
03/17/21  16:57:57  1:+24.134C  
03/17/21  16:58:07  1:+24.115C  
03/17/21  16:58:17  1:+24.100C  
03/17/21  16:58:27  1:+24.091C  
03/17/21  16:58:37  1:+24.078C  
03/17/21  16:58:47  1:+24.069C  
03/17/21  16:58:57  1:+24.067C  
03/17/21  16:59:07  1:+24.049C  
03/17/21  16:59:17  1:+24.044C  
03/17/21  16:59:27  1:+24.035C  
03/17/21  16:59:37  1:+24.026C  
03/17/21  16:59:47  1:+24.018C  
03/17/21  16:59:57  1:+23.998C  
03/17/21  17:00:07  1:+23.990C  
03/17/21  17:00:17  1:+23.989C  
03/17/21  17:00:27  1:+23.971C  
03/17/21  17:00:37  1:+23.960C  
03/17/21  17:00:47  1:+23.951C  
03/17/21  17:00:57  1:+23.938C  
03/17/21  17:01:07  1:+23.926C  
03/17/21  17:01:17  1:+23.923C  
03/17/21  17:01:27  1:+23.914C  
03/17/21  17:01:37  1:+23.907C  
03/17/21  17:01:47  1:+23.903C  
03/17/21  17:01:57  1:+23.896C  
03/17/21  17:02:07  1:+23.885C  
03/17/21  17:02:17  1:+23.881C  
03/17/21  17:02:27  1:+23.876C  
03/17/21  17:02:37  1:+23.867C  
03/17/21  17:02:47  1:+23.864C  
03/17/21  17:02:57  1:+23.859C  
03/17/21  17:03:07  1:+23.851C  
03/17/21  17:03:17  1:+23.847C  
03/17/21  17:03:27  1:+23.840C  
03/17/21  17:03:37  1:+23.826C  
03/17/21  17:03:47  1:+23.816C  
03/17/21  17:03:57  1:+23.812C  
03/17/21  17:04:07  1:+23.811C  
03/17/21  17:04:17  1:+23.811C  
03/17/21  17:04:27  1:+23.800C  
03/17/21  17:04:37  1:+23.787C  
03/17/21  17:04:47  1:+23.785C  
03/17/21  17:04:57  1:+23.780C  
03/17/21  17:05:07  1:+23.772C  
03/17/21  17:05:17  1:+23.771C  
03/17/21  17:05:26  1:+23.765C  
03/17/21  17:05:37  1:+23.761C  
03/17/21  17:05:47  1:+23.759C  
03/17/21  17:05:56  1:+23.756C  
03/17/21  17:06:06  1:+23.749C  
03/17/21  17:06:16  1:+23.747C  
03/17/21  17:06:26  1:+23.739C  
03/17/21  17:06:36  1:+23.731C  
03/17/21  17:06:46  1:+23.728C  
03/17/21  17:06:56  1:+23.723C  
03/17/21  17:07:06  1:+23.716C  
03/17/21  17:07:16  1:+23.710C  
03/17/21  17:07:26  1:+23.708C  
03/17/21  17:07:36  1:+23.698C  
03/17/21  17:07:46  1:+23.698C  
03/17/21  17:07:56  1:+23.691C  
03/17/21  17:08:06  1:+23.683C  
03/17/21  17:08:16  1:+23.683C  
03/17/21  17:08:26  1:+23.674C  
03/17/21  17:08:36  1:+23.663C  
03/17/21  17:08:46  1:+23.655C  
