2021-03-17 16:33:30	2:+37.014C
2021-03-17 16:33:33	2:+37.103C
2021-03-17 16:33:36	2:+37.153C
2021-03-17 16:33:39	2:+37.221C
2021-03-17 16:33:42	2:+37.289C
2021-03-17 16:33:45	2:+37.316C
2021-03-17 16:33:48	2:+37.297C
2021-03-17 16:33:51	2:+37.288C
2021-03-17 16:33:54	2:+37.259C
2021-03-17 16:33:57	2:+37.233C
2021-03-17 16:34:00	2:+37.208C
2021-03-17 16:34:03	2:+37.120C
2021-03-17 16:34:07	2:+37.000C
2021-03-17 16:34:10	2:+36.980C
2021-03-17 16:34:13	2:+36.888C
2021-03-17 16:34:16	2:+36.814C
2021-03-17 16:34:19	2:+36.714C
2021-03-17 16:34:22	2:+36.617C
2021-03-17 16:34:25	2:+36.508C
2021-03-17 16:34:28	2:+36.402C
2021-03-17 16:34:31	2:+36.326C
2021-03-17 16:34:34	2:+36.220C
2021-03-17 16:34:37	2:+36.095C
2021-03-17 16:34:41	2:+35.994C
2021-03-17 16:34:44	2:+35.893C
2021-03-17 16:34:47	2:+35.787C
2021-03-17 16:34:50	2:+35.681C
2021-03-17 16:34:53	2:+35.576C
2021-03-17 16:34:56	2:+35.454C
2021-03-17 16:34:59	2:+35.361C
2021-03-17 16:35:02	2:+35.237C
2021-03-17 16:35:05	2:+35.136C
2021-03-17 16:35:08	2:+35.044C
2021-03-17 16:35:11	2:+34.924C
2021-03-17 16:35:14	2:+34.799C
2021-03-17 16:35:18	2:+34.758C
2021-03-17 16:35:21	2:+34.677C
2021-03-17 16:35:24	2:+34.593C
2021-03-17 16:35:27	2:+34.467C
2021-03-17 16:35:30	2:+34.364C
2021-03-17 16:35:33	2:+34.273C
2021-03-17 16:35:36	2:+34.194C
2021-03-17 16:35:39	2:+34.093C
2021-03-17 16:35:42	2:+34.003C
2021-03-17 16:35:45	2:+33.908C
2021-03-17 16:35:48	2:+33.802C
2021-03-17 16:35:52	2:+33.745C
2021-03-17 16:35:55	2:+33.635C
2021-03-17 16:35:58	2:+33.559C
2021-03-17 16:36:01	2:+33.465C
2021-03-17 16:36:04	2:+33.375C
2021-03-17 16:36:07	2:+33.309C
2021-03-17 16:36:10	2:+33.209C
2021-03-17 16:36:13	2:+33.130C
2021-03-17 16:36:16	2:+33.060C
2021-03-17 16:36:19	2:+33.001C
2021-03-17 16:36:22	2:+32.926C
2021-03-17 16:36:25	2:+32.853C
